2026-04-06 14:27:21 | ERROR | biosignals.utils.config | _load_config | ❌ SensorConfig JSON syntax error: Expecting property name enclosed in double quotes: line 22 column 1 (char 379)
2026-04-06 14:27:21 | INFO | biosignals.src.utils.config | _watch_loop | ♻️ FilterConfig changed — reloading...
2026-04-06 14:27:21 | ERROR | biosignals.src.utils.config | _load_config |    File: C:\bci\Neurokey\config\sensor_config.json
2026-04-06 14:27:21 | ERROR | biosignals.utils.config | _load_config |    File: C:\bci\Neurokey\config\sensor_config.json
2026-04-06 14:27:21 | ERROR | biosignals.src.utils.config | _load_config | ❌ FilterConfig JSON syntax error: Expecting property name enclosed in double quotes: line 4 column 1 (char 30)
2026-04-06 14:27:21 | ERROR | biosignals.src.utils.config | _load_config |    File: C:\bci\Neurokey\config\filter_config.json
2026-04-06 14:27:21 | INFO | biosignals.src.utils.config | _watch_loop | ♻️ SensorConfig changed — reloading...
2026-04-06 14:27:21 | ERROR | biosignals.src.utils.config | _load_config | ❌ SensorConfig JSON syntax error: Expecting property name enclosed in double quotes: line 22 column 1 (char 379)
2026-04-06 14:27:21 | ERROR | biosignals.src.utils.config | _load_config |    File: C:\bci\Neurokey\config\sensor_config.json
2026-04-06 14:27:21 | INFO | biosignals.src.utils.config | _watch_loop | ♻️ SensorConfig changed — reloading...
2026-04-06 14:27:21 | ERROR | biosignals.src.utils.config | _load_config | ❌ SensorConfig JSON syntax error: Expecting property name enclosed in double quotes: line 22 column 1 (char 379)
2026-04-06 14:27:21 | ERROR | biosignals.src.utils.config | _load_config |    File: C:\bci\Neurokey\config\sensor_config.json
2026-04-06 14:27:21 | INFO | biosignals.src.utils.config | _watch_loop | ♻️ SensorConfig changed — reloading...
2026-04-06 14:27:21 | ERROR | biosignals.src.utils.config | _load_config | ❌ SensorConfig JSON syntax error: Expecting property name enclosed in double quotes: line 22 column 1 (char 379)
2026-04-06 14:27:21 | ERROR | biosignals.src.utils.config | _load_config |    File: C:\bci\Neurokey\config\sensor_config.json
2026-04-06 14:27:21 | INFO | biosignals.src.utils.config | _watch_loop | ♻️ FilterConfig changed — reloading...
2026-04-06 14:27:21 | ERROR | biosignals.src.utils.config | _load_config | ❌ FilterConfig JSON syntax error: Expecting property name enclosed in double quotes: line 4 column 1 (char 30)
2026-04-06 14:27:21 | ERROR | biosignals.src.utils.config | _load_config |    File: C:\bci\Neurokey\config\filter_config.json
